# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 48 1734 6378 7909 3384
p 2 904 5733 1523 61437 13851
p 2 942 5665 1553 60657 13868
p 2 35 2425 5700 9518 4202
p 2 48 1840 6272 8094 3501
p 2 920 5744 1496 61257 13884
p 2 935 5688 1537 61317 13958
p 2 33 2605 5522 9794 4329
p 2 46 1708 6406 7538 3326
p 2 912 5734 1514 61219 13871
p 2 929 5672 1559 60402 13880
p 2 37 2462 5661 9374 4265
p 2 50 1805 6305 8334 3520
p 2 926 5728 1506 60988 13894
p 2 949 5679 1532 60631 13914
p 2 33 2424 5703 9136 4130
p 2 47 1693 6420 7571 3341
p 2 903 5725 1532 61055 13826
p 2 936 5657 1567 60656 13905
p 2 37 2447 5676 9266 4226
p 2 49 1820 6291 7991 3500
p 2 931 5711 1518 61018 13883
p 2 940 5647 1573 60570 13895
p 2 33 2447 5680 8925 4121
p 2 48 1668 6444 7607 3327
p 2 911 5698 1551 60989 13840
p 2 929 5647 1584 60431 13849
p 2 36 2421 5703 9201 4165
p 2 46 1698 6416 7894 3395
p 2 934 5685 1541 60699 13859
p 2 949 5618 1593 60325 13838
p 2 33 2475 5652 9000 4166
p 2 48 1722 6390 7627 3377
p 2 917 5690 1553 60902 13810
p 2 922 5629 1609 60282 13759
p 2 35 2464 5661 9227 4192
p 2 48 1787 6325 8003 3471
p 2 929 5657 1574 60649 13776
p 2 944 5596 1620 60411 13806
p 2 33 2414 5713 8969 4105
p 2 50 1678 6432 7591 3321
p 2 917 5631 1612 60580 13736
p 2 945 5579 1636 60238 13781
p 2 36 2427 5697 9178 4198
p 2 51 1788 6321 8019 3521
p 2 923 5647 1590 60715 13815
p 2 941 5600 1619 60423 13817
p 2 33 2462 5665 9026 4168
p 2 45 1620 6495 7663 3272
p 2 919 5663 1578 60670 13772
p 2 934 5591 1635 60173 13800
p 2 36 2382 5742 8895 4112
p 2 50 1926 6184 8344 3625
p 2 925 5657 1578 60657 13800
p 2 922 5716 1522 61528 13950
p 2 33 2451 5676 8558 4059
p 2 48 1608 6504 7681 3306
p 2 920 5665 1575 61082 13824
p 2 915 5675 1570 61139 13884
p 2 34 2602 5524 9410 4357
p 2 73 2219 5868 22889 4756
p 2 922 5687 1551 61504 13835
p 2 923 5639 1598 61336 13803
p 2 153 2871 5136 23868 5527
p 2 49 2248 5863 9343 3965
p 2 925 5612 1623 61271 13716
p 2 1126 5556 1478 78445 15097
p 2 33 2979 5148 11089 4769
p 2 45 2212 5903 9495 3983
p 2 1181 5618 1361 88317 15560
p 2 945 5687 1528 61402 13969
p 2 34 2910 5216 10766 4654
p 2 49 2225 5886 8922 3896
p 2 936 5553 1671 60296 13705
p 2 946 5504 1710 59810 13674
p 2 33 2826 5301 10517 4594
p 2 49 2242 5869 9407 3925
p 2 936 5581 1643 60675 13704
p 2 954 5553 1653 60160 13756
p 2 35 3115 5010 11492 4843
p 2 46 2109 6005 8798 3780
p 2 947 5572 1641 60349 13712
p 2 947 5449 1764 59859 13687
p 2 34 2849 5277 10531 4616
p 2 49 1983 6128 8662 3741
p 2 947 5527 1686 59713 13642
p 2 963 5450 1747 59690 13670
p 2 34 2687 5439 9523 4356
p 2 49 1877 6234 8034 3538
p 2 935 5496 1729 59972 13587
p 2 937 5427 1796 59554 13619
p 2 35 2613 5512 9726 4398
p 2 49 1829 6282 8196 3540
p 2 946 5491 1723 59716 13599
p 2 951 5436 1773 59609 13621
p 2 31 2559 5570 9384 4251
p 2 48 1820 6292 7951 3477
p 2 939 5466 1755 59702 13548
p 2 935 5435 1790 59540 13594
p 2 31 2556 5573 9566 4307
p 2 49 1899 6212 8676 3649
p 2 953 5494 1713 59598 13581
p 2 961 5421 1778 59535 13636
p 2 35 2709 5416 9810 4420
p 2 48 1825 6287 8060 3499
p 2 947 5501 1712 59850 13616
p 2 946 5437 1777 59463 13629
p 2 35 2634 5491 9599 4382
p 2 49 1905 6206 8374 3614
p 2 954 5456 1750 59533 13581
p 2 959 5393 1808 59214 13577
p 2 33 2633 5494 9408 4321
p 2 46 1781 6333 7913 3467
p 2 933 5449 1778 59796 13569
p 2 953 5370 1837 59037 13574
p 2 35 2533 5592 9478 4296
p 2 49 1904 6207 9131 3666
p 2 955 5432 1773 59289 13545
p 2 961 5366 1833 59615 13575
p 2 33 2577 5550 9198 4245
p 2 49 1752 6359 8454 3425
p 2 934 5469 1757 59835 13535
p 2 951 5360 1849 59138 13530
p 2 35 2590 5535 9765 4394
p 2 48 1878 6234 8600 3629
p 2 950 5474 1736 59559 13577
p 2 969 5379 1812 59403 13553
p 2 33 2659 5468 9570 4324
p 2 49 1798 6313 7816 3459
p 2 953 5461 1746 59869 13588
p 2 953 5384 1823 59186 13546
p 2 35 2645 5480 9649 4409
p 2 47 1980 6133 8965 3727
p 2 948 5468 1744 59455 13570
