# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 0 832 88 5615 1169
p 2 0 876 44 5834 1201
p 2 0 822 98 5614 1148
p 2 0 866 54 5848 1191
p 2 0 839 81 5511 1156
p 2 0 854 66 5803 1200
p 2 0 847 73 5476 1155
p 2 0 855 65 5825 1186
p 2 0 854 66 5786 1178
p 2 0 847 73 5845 1172
p 2 0 882 38 5959 1237
p 2 0 851 69 5752 1171
p 2 0 834 86 5596 1148
p 2 0 847 73 5660 1166
p 2 0 829 91 5642 1159
p 2 0 859 61 6108 1195
p 2 0 842 78 5436 1166
p 2 0 844 76 5664 1162
i 2 920 0 0 17114 3497
p 2 0 853 67 4000 1096
p 2 0 864 56 4845 1115
p 2 0 747 173 4559 1001
p 2 0 844 76 4896 1082
p 2 0 783 137 4917 1037
p 2 0 842 78 4897 1086
p 2 0 749 171 4993 1014
p 2 0 834 86 4819 1101
p 2 0 775 145 4862 1029
p 2 0 831 89 4860 1087
p 2 0 754 166 4799 1018
p 2 0 844 76 4832 1090
p 2 0 804 116 5061 1053
p 2 0 858 62 4848 1097
p 2 0 786 134 4961 1040
p 2 0 844 76 4975 1108
p 2 0 751 169 4968 1017
p 2 0 826 94 5040 1074
p 2 0 825 95 5003 1084
p 2 0 815 105 5083 1090
p 2 0 802 118 5187 1056
p 2 0 818 102 4916 1081
p 2 0 783 137 4876 1042
p 2 0 855 65 5057 1109
p 2 0 804 116 5269 1060
p 2 0 828 92 5092 1101
p 2 0 765 155 5009 1017
p 2 0 863 57 5135 1116
p 2 0 782 138 5269 1068
p 2 0 859 61 5017 1098
p 2 0 785 135 5160 1044
p 2 0 872 48 5050 1118
p 2 0 827 93 5063 1069
p 2 0 833 87 5126 1112
p 2 0 780 140 4992 1038
p 2 0 850 70 5087 1106
p 2 0 813 107 5121 1047
p 2 0 846 74 5252 1101
p 2 0 791 129 5263 1047
p 2 0 870 50 5133 1124
p 2 0 788 132 5060 1053
p 2 0 839 81 4868 1082
p 2 0 795 125 5048 1063
p 2 0 820 100 4977 1089
p 2 0 784 136 4927 1048
p 2 0 852 68 4920 1102
i 2 920 0 0 14154 3428
p 2 2 910 8 6170 1333
p 2 2 907 11 6004 1328
p 2 1 914 5 5640 1333
p 2 2 907 11 6149 1363
p 2 0 917 3 5971 1358
p 2 2 913 5 6459 1383
p 2 0 918 2 6017 1357
p 2 0 913 7 6701 1393
p 2 1 917 2 6951 1411
p 2 0 912 8 7431 1419
p 2 0 916 4 7244 1379
p 2 0 910 10 7362 1399
p 2 0 910 10 7263 1361
p 2 1 912 7 7232 1398
p 2 0 914 6 7402 1379
p 2 0 911 9 7402 1392
p 2 0 912 8 7588 1388
p 2 0 914 6 7682 1400
p 2 0 909 11 7608 1367
p 2 0 909 11 8119 1402
p 2 0 915 5 7749 1376
p 2 0 912 8 8532 1403
p 2 1 918 1 8264 1405
p 2 1 907 12 8505 1411
p 2 0 908 12 9051 1387
p 2 1 910 9 8992 1395
p 2 2 912 6 8841 1393
p 2 0 906 14 9051 1388
p 2 0 907 13 9151 1368
p 2 0 904 16 9297 1367
p 2 0 906 14 9245 1384
p 2 0 901 19 9492 1407
p 2 0 905 15 9905 1380
p 2 0 905 15 10261 1421
p 2 1 901 18 9918 1377
p 2 0 913 7 10452 1394
p 2 0 908 12 10232 1410
p 2 0 911 9 10386 1412
p 2 0 900 20 10484 1377
p 2 0 909 11 10686 1411
p 2 1 902 17 10986 1385
p 2 1 907 12 11516 1401
p 2 1 908 11 11811 1412
p 2 0 904 16 12068 1387
p 2 3 905 12 12632 1427
p 2 4 912 4 13234 1445
p 2 4 903 13 13602 1437
p 2 2 911 7 13640 1435
p 2 3 909 8 13663 1439
p 2 2 911 7 14062 1431
p 2 2 914 4 13563 1423
p 2 3 911 6 13953 1438
p 2 3 908 9 14261 1463
p 2 2 910 8 14767 1472
p 2 4 908 8 15205 1487
p 2 2 912 6 15667 1487
p 2 4 913 3 15818 1490
p 2 3 906 11 15999 1533
p 2 2 909 9 16474 1517
p 2 2 911 7 16417 1522
p 2 2 913 5 17092 1517
p 2 1 913 6 16895 1519
p 2 2 915 3 17142 1508
p 2 4 908 8 17589 1492
p 2 2 905 13 18062 1490
p 2 6 909 5 18168 1508
p 2 6 900 14 12234 1441
i 2 920 0 0 64736 4333
p 2 0 218 702 490 390
p 2 0 297 623 6791 559
p 2 0 690 230 34270 1366
p 2 0 518 402 1925 733
p 2 0 367 553 6553 622
p 2 0 678 242 30172 1252
p 2 0 559 361 2040 768
p 2 0 318 602 6218 573
p 2 1 647 272 32026 1286
p 2 0 530 390 2111 750
p 2 0 461 459 7870 738
p 2 0 662 258 29827 1227
p 2 0 501 419 1907 714
p 2 0 332 588 7121 604
p 2 1 661 258 28602 1218
p 2 0 493 427 1893 695
p 2 0 308 612 8032 593
p 2 1 647 272 31969 1265
p 2 0 502 418 1935 713
p 2 0 357 563 7688 640
p 2 0 658 262 30244 1237
p 2 0 507 413 1977 719
p 2 0 399 521 7176 664
p 2 0 661 259 34300 1316
p 2 0 521 399 1993 737
p 2 0 332 588 7211 609
p 2 0 667 253 33093 1314
p 2 0 525 395 1956 727
p 2 0 331 589 6516 591
p 2 0 650 270 30036 1223
p 2 0 505 415 1976 724
p 2 0 334 586 6282 582
p 2 1 650 269 31897 1279
p 2 0 508 412 1959 719
p 2 0 404 516 7669 673
p 2 0 648 272 29862 1222
p 2 0 506 414 1951 713
p 2 0 313 607 7162 590
p 2 1 643 276 28701 1195
p 2 0 497 423 1855 700
p 2 0 328 592 8088 616
p 2 1 642 277 31838 1266
p 2 0 497 423 1879 706
p 2 0 338 582 7637 623
p 2 0 647 273 30446 1238
p 2 0 501 419 1895 718
p 2 0 397 523 7214 670
p 2 0 656 264 34307 1316
p 2 0 498 422 1941 712
p 2 0 344 576 7191 616
p 2 0 646 274 33086 1289
